id,screen_name,democrat,republican
48117116,SteveKingIA,11,115
172858784,timkaine,133,26
30231573,bennydiego,0,0
94492750,jbspharmd,-1,-1
161791703,BobbyScott,109,6
158398519,RepSamFarr,-1,-1
131546062,FLGovScott,6,106
2933760046,RepComstock,12,112
88784440,SenMikeLee,4,112
240760644,RepGosar,3,109
733672650120253440,JRutherfordFL,-1,-1
976969338,RepDaveJoyce,3,105
787373558,RepCummings,105,3
2891165960,GovRicketts,4,111
3018670151,RepPeteAguilar,107,7
1058717720,RepAnnieKuster,109,10
11651202,SteveDaines,109,10
950783972,RepBera,114,6
82453460,BennieGThompson,103,2
299883942,CongPalazzo,7,112
267938462,RepZoeLofgren,4,100
1222257180,RepCardenas,-1,-1
555474658,SenThadCochran,1,102
1339931490,RepRobinKelly,0,0
946549322,SenatorHassan,117,7
22669526,RepGwenMoore,107,2
111635527,RepGeneGreen,5,100
2966758114,RepRussell,1,107
34308692,GovJayNixon,104,3
210926192,RepCuellar,136,29
20217019,dougducey,2,106
24913074,RepSpeier,107,2
20467163,VernBuchanan,4,109
88806753,RepGaramendi,116,9
584012853,RepDLamborn,-1,-1
212262370,SenDanCoats,5,106
404132211,RepRickLarsen,104,4
26778110,RepWalterJones,11,125
108376246,LorettaSanchez,18,111
339822881,McConnellPress,0,0
15600527,RepShimkus,4,111
233737858,SenRonJohnson,2,104
278145569,MarshaBlackburn,10,124
1058520120,SenDuckworth,109,8
19658173,RepLynnJenkins,5,120
1531521632,RepBeatty,8,100
161411080,gracenapolitano,101,3
263815367,DelegateDonna,2,100
41417564,RepSmucker,1,104
2966205003,RepMarkWalker,3,113
18967498,CongressmanGT,0,0
42337890,Scotttaylorva,100,5
30216513,BradSherman,107,5
23712174,GreggHarper,1,106
23124635,TomColeOK04,2,112
47798449,RepMimiWalters,5,112
247334603,SenatorDurbin,119,9
817076257770835968,RepEspaillat,109,2
2970279814,RepDebDingell,-1,-1
117501995,SenatorCantwell,123,16
3143431748,CantwellPress,0,0
33655490,RepDennisRoss,2,104
960696949,RepGarrett,8,118
1382011333,USRepRodney,3,122
462143773,RepCicilline,119,9
1061385474,RepLujanGrisham,103,3
240363117,RepTomMarino,3,102
21269970,RoyBlunt,10,124
3122099613,DonaldNorcross,112,1
817138492614524928,RepTedBudd,100,3
113036476,onetoughnerd,0,0
30354991,KamalaHarris,113,3
242926427,HerreraBeutler,6,111
2916915026,GovHawaii,102,1
3317799825,RepTrentKelly,3,107
26424123,RepMcCaul,5,105
15808765,CoryBooker,107,9
747806211983179776,RepMikeCapuano,112,2
1058051748,TXRandy14,101,1
234812598,RepLarryBucshon,-1,-1
240812994,RepYvetteClarke,105,2
1072467470,RepSeanMaloney,114,6
1071402577,SenatorFischer,2,102
322013313,LuisGutierrez,-1,-1
50452197,RepJohnLarson,9,100
18915145,senrobportman,19,128
33563161,RepJoseSerrano,-1,-1
20545793,RepSchrader,110,6
37007274,repdonyoung,12,133
193794406,SenCapito,7,126
89193992,govsambrownback,13,121
232992031,USRepKeating,113,7
112740986,RepRonKind,-1,-1
1096059529,SenatorRisch,105,10
993153006,RodneyDavis,3,106
1260172386,RepJuanVargas,106,3
816683274076614656,SenJohnKennedy,13,109
15764644,NancyPelosi,155,12
161743731,RepKayGranger,4,112
137823987,BlumenauerMedia,-1,-1
14135426,keithellison,119,5
2856787757,SenJoniErnst,5,113
1055685948,USRepRickNolan,112,5
233761277,CongHuelskamp,2,114
1074412920,RepPaulCook,4,105
13491312,RepTimRyan,108,1
1072382221,RepMattSalmon,6,110
22545491,KenCalvert,4,108
21111098,SenShelby,122,27
18632666,JerryMoran,3,114
217543151,SenatorTimScott,9,122
190328374,RepTomGraves,1,109
811986281177772032,RepTrey,3,113
252819323,RepTomReed,6,108
2953713339,RepEvanJenkins,10,113
314205957,RepDavidYoung,2,105
269992801,AsaHutchinson,12,109
249219716,RepFincherTN08,0,0
84406725,TerryBranstad,1,110
364415553,RepSarbanes,105,1
2914163523,RepLoudermilk,100,5
16256269,virginiafoxx,3,104
131018989,Mama3Cubs,-1,-1
33576489,RepBrianHiggins,108,4
249348006,RepAnnaEshoo,115,6
18020081,JohnKasich,25,169
2966765501,RepJohnKatko,2,104
296361085,SenJohnThune,7,118
18916432,SpeakerRyan,14,129
296245061,RepAdrianSmith,7,108
199325935,RepAndreCarson,-1,-1
1072008757,RepChrisStewart,1,102
19139963,DanaRohrabacher,5,114
150078976,ChrisMurphyCT,107,12
796736612554117120,RepJimmyPanetta,1,101
240385577,RepMickMulvaney,9,108
550401754,RepHalRogers,3,111
132278386,SenatorBarb,101,2
2962681881,RepGwenGraham,109,7
2724095695,StaceyPlaskett,105,2
17800215,jasoninthehouse,106,15
815931811348017152,RepJohnFaso,4,111
815966620300480514,RepGallagher,1,103
36686040,MaxineWaters,106,1
78403308,SenatorIsakson,6,114
2953922782,RepRyanCostello,5,113
18696134,RepSires,0,0
1058460818,RepHolding,1,105
33977070,RepMikeRogersAL,0,0
140519774,rosadelauro,104,3
20209807,AnderCrenshaw,2,111
18773159,RepScottPerry,3,105
26051676,RepGusBilirakis,100,4
208931294,GovSandoval,5,107
24773493,RepTrentFranks,5,112
234374703,Sen_JoeManchin,134,17
17513304,RepErikPaulsen,4,111
1045110018,RepDanKildee,103,1
24183358,CongCulberson,12,113
246769138,RepEdRoyce,1,111
2560169238,RepDaveBrat,5,115
1089859058,CongressmanRuiz,102,2
211588974,SenatorKirk,6,120
797201048490430465,RepTenney,6,108
1499993378,RepSanfordSC,109,28
234906311,RepEdWhitfield,-1,-1
1305596696,Rep_Hunter,7,111
1206227149,repmarkpocan,111,6
36396752,ButchOtter,8,118
1048784496,RepKevinCramer,11,112
292990703,RepLoisCapps,103,7
3026622545,RepAmata,-1,-1
2915095729,AkGovBillWalker,5,107
2964222544,RepHardy,4,103
164369297,NydiaVelazquez,-1,-1
237770636,JohnCarneyDE,0,0
22012091,WhipHoyer,124,3
231108733,RepBrendanBoyle,107,5
2973870195,RepBuddyCarter,1,104
816012124505931780,repdavidkustoff,1,111
74198348,JudgeTedPoe,5,106
249787913,SenatorCarper,123,16
1077214808,GovInslee,113,14
2964287128,RepRickAllen,100,5
234057152,RepMGriffith,101,1
23600262,EleanorNorton,3,100
258900199,RepMaloney,114,6
815733290955112448,RepJayapal,7,100
2964877294,RepBost,5,108
211530910,RepBillJohnson,3,105
26103389,BillHaslam,7,111
202206694,SenJohnBarrasso,4,112
72198806,SenGillibrand,124,13
305216911,RepBobbyRush,0,0
935368364,MikeKellyPA,3,105
1623308912,RepJasonSmith,7,106
137794015,RepTedDeutch,104,4
600463589,MikeCrapo,7,106
776664410,RepCartwright,113,5
241207373,RepLoBiondo,7,110
1071102246,RepHuffman,106,6
242376736,RepCharlieDent,8,106
